LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSf1,BsmtFinSf2,TotalBsmtSf,FirstFlrSf,SecondFlrSf,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSf,OpenPorchSf,EnclosedPorch,ThreeSsnPorch,ScreenPorch,SalePrice
9600,5,6,1961,1990,915,0,1251,1433,0,1433,1,0,1,0,3,1,7,1,2,441,144,0,205,0,0,161000
10331,7,7,1985,1985,215,80,1265,1240,0,1240,0,1,2,0,3,1,6,0,2,528,232,0,0,0,0,174000
12172,5,7,1940,1996,130,259,822,908,0,908,0,0,1,0,2,1,4,0,2,512,284,24,0,0,192,138500
4538,9,5,2001,2001,1004,0,1310,1310,0,1310,1,0,1,1,1,1,5,1,2,545,277,45,0,0,0,285000
8530,7,5,1995,1996,0,0,384,804,670,1474,0,0,2,1,3,1,7,1,2,400,120,72,0,0,0,168500
9350,5,8,1965,1999,633,0,1219,1265,0,1265,0,1,2,0,3,1,6,1,2,502,0,92,0,96,0,179900
9180,5,7,1983,1983,747,93,840,884,0,884,1,0,1,0,2,1,5,0,2,504,240,0,0,0,0,144000
4485,5,7,1920,1950,579,0,936,936,0,936,1,0,1,0,2,1,5,1,0,0,51,0,135,0,0,109500
6000,6,7,1937,2000,201,162,825,825,672,1497,0,0,2,0,3,1,5,0,1,672,272,0,0,0,0,157000
8064,6,6,1948,1950,315,0,768,819,501,1320,0,0,2,0,3,1,5,0,2,576,108,0,0,0,0,138000
8777,5,7,1910,1950,0,0,796,796,0,796,0,0,1,0,2,1,4,0,0,0,328,0,164,0,0,85000
1484,4,4,1972,1972,252,0,546,546,546,1092,0,0,1,1,3,1,5,0,1,253,0,0,0,0,0,79400
10012,4,5,1972,1972,920,180,1138,1181,0,1181,1,0,2,0,3,1,6,0,2,588,0,0,180,0,0,137500
7200,6,7,1976,2001,288,0,684,684,714,1398,0,0,1,1,3,1,6,1,2,440,0,0,0,0,0,160500
5190,7,5,1948,1950,0,0,570,617,462,1079,0,0,1,0,2,1,5,1,1,249,135,0,0,0,0,125600
8450,7,5,2003,2003,699,0,1337,1337,0,1337,1,0,2,0,3,1,6,0,2,531,0,39,0,0,0,185000
9757,5,7,1994,1994,755,0,990,990,0,990,1,0,1,0,3,1,5,0,1,440,66,0,0,0,92,143000
9675,5,6,1975,1975,330,432,864,879,0,879,0,0,1,0,3,1,5,0,2,440,0,80,0,0,0,120000
13568,5,5,1995,1995,716,0,990,990,0,990,0,1,1,0,3,1,5,0,2,576,224,0,0,0,0,156000
12342,4,5,1940,1950,262,0,861,861,0,861,0,0,1,0,1,1,4,0,2,539,158,0,0,0,0,82500
3182,7,5,2004,2005,0,0,600,600,600,1200,0,0,2,1,2,1,4,0,2,480,0,172,0,0,0,151000
7153,6,5,1991,1991,1200,0,1278,1294,0,1294,1,0,2,0,3,1,6,0,2,496,112,51,0,0,0,179200
9101,5,6,1978,1978,1097,0,1097,1110,0,1110,1,0,1,0,1,1,4,1,2,602,303,30,0,0,0,165500
1680,5,7,1972,1972,231,0,630,630,672,1302,0,0,2,1,3,1,6,0,1,264,185,0,0,0,0,119500
8789,5,6,1967,1967,659,0,912,941,0,941,0,0,1,0,3,1,6,1,1,288,64,0,0,0,0,129200
9600,5,5,1969,1969,553,147,1288,1336,0,1336,0,1,2,0,3,1,6,1,2,502,312,11,0,0,0,163000
10784,7,5,1991,1992,0,0,384,802,670,1472,0,0,2,1,3,1,7,1,2,402,164,0,0,0,0,160000
10140,6,6,1974,1974,888,0,1116,1116,0,1116,1,0,2,0,3,1,6,1,2,528,0,0,0,0,0,167900
11457,6,5,1988,1988,1005,0,1392,1412,0,1412,1,0,2,0,3,1,6,1,2,576,0,0,169,0,0,175000
9100,5,5,1958,1958,521,174,864,864,0,864,1,0,1,0,3,1,5,0,2,624,0,0,0,0,0,129900
7758,5,7,1962,2001,588,0,999,999,0,999,1,0,1,0,3,1,6,0,1,264,0,132,0,0,0,132500
9590,7,5,2003,2003,786,0,868,1146,0,1146,1,0,2,0,3,1,6,1,2,438,160,22,0,0,0,187500
8000,5,5,1960,1960,1098,154,1377,1377,0,1377,1,0,1,0,3,1,6,2,1,351,0,0,0,0,0,156500
7500,8,5,2006,2007,24,0,1372,1448,0,1448,0,0,2,0,2,1,6,1,2,692,0,140,0,0,0,238500
14115,7,5,1980,1980,1036,0,1372,1472,0,1472,1,0,2,0,3,1,6,2,2,588,233,48,0,0,0,187500
7200,5,8,1972,2003,660,0,768,768,0,768,0,1,1,0,2,1,5,0,1,396,192,0,0,0,0,133900
9100,5,6,1930,1960,0,0,742,779,0,935,0,0,1,0,2,1,4,0,1,308,0,0,0,0,0,79500
1470,4,6,1970,1970,522,0,630,630,0,630,1,0,1,0,1,1,3,0,0,0,0,0,0,0,0,73000
9723,6,7,1963,1963,0,0,1008,1008,0,1008,0,0,1,0,2,1,5,0,2,430,0,0,0,0,0,135000
2349,6,5,1977,1977,389,0,855,855,601,1456,0,0,2,1,3,1,6,1,2,440,0,28,0,0,0,137900
5118,8,5,1990,1990,926,0,1312,1321,0,1321,1,0,1,0,1,1,4,1,2,484,0,64,140,0,0,212000
9600,5,6,1960,1960,658,0,1296,1496,0,1496,0,0,2,0,3,1,6,0,2,450,0,22,0,0,0,141500
9758,5,5,1971,1971,412,287,950,950,0,950,0,0,1,0,3,1,5,0,1,280,0,0,0,0,0,119500
13050,5,6,1963,1963,104,850,1000,1000,0,1000,1,0,1,0,1,1,4,2,2,575,238,0,148,0,0,164000
6956,4,7,1948,1950,0,0,624,624,312,936,0,0,1,0,3,1,5,0,1,265,0,0,0,0,0,97900
1477,4,4,1970,1970,509,0,630,630,0,630,1,0,1,0,1,1,3,0,1,286,0,0,0,0,0,80000
7000,5,6,1961,1961,0,0,0,925,0,925,0,0,1,0,3,1,7,0,1,300,0,0,0,0,0,99000
25286,4,5,1963,1963,633,0,1064,1040,0,1040,1,0,1,0,3,1,5,0,2,648,0,0,0,0,0,132250
8925,8,5,2007,2007,16,0,1466,1466,0,1466,0,0,2,0,3,1,7,0,3,610,100,18,0,0,0,201000
5350,7,8,1920,1965,116,0,624,730,720,1450,0,0,1,0,3,1,7,0,1,288,0,192,0,0,0,132000
6000,5,5,1924,1950,220,0,468,822,320,1142,0,0,1,0,3,1,6,0,1,320,0,0,98,0,0,93000
9768,5,5,1955,1955,100,247,960,960,0,960,1,0,1,0,2,1,5,0,1,330,0,70,0,0,0,122000
9790,6,5,1967,1967,251,630,1372,1342,0,1342,0,0,2,0,3,1,7,1,2,457,0,0,0,0,197,161500
6240,4,5,1947,1950,0,0,0,672,240,912,0,0,1,0,2,1,3,0,0,0,0,0,0,0,0,80500
7920,6,7,1920,1950,0,0,319,1035,371,1406,0,0,1,0,3,1,6,0,0,0,0,144,0,0,0,89500
3600,6,7,1917,2007,0,0,624,664,624,1288,1,0,1,0,3,1,5,1,1,280,0,103,0,0,0,119000
2544,7,5,2005,2005,0,0,600,520,623,1223,0,0,2,1,2,1,4,0,2,480,0,166,0,0,0,147400
3480,7,5,2003,2003,0,0,1405,1405,0,1405,0,0,2,0,2,1,6,1,2,478,148,36,0,0,0,173000
9143,5,7,1900,2003,0,0,346,709,308,1017,0,0,1,0,2,1,5,0,1,308,0,0,139,0,0,114000
8450,7,5,2004,2004,946,0,1436,1436,0,1436,1,0,2,0,3,1,8,0,2,484,139,98,0,0,0,210000
3378,7,8,1946,1992,0,0,651,707,682,1389,0,0,1,1,3,1,6,2,1,240,0,0,126,0,0,135000
17199,4,7,1961,1961,314,0,914,914,0,914,0,0,1,0,2,1,4,0,1,270,140,0,0,0,0,128000
11080,6,6,1975,1975,576,0,1128,1210,0,1210,1,0,2,0,3,1,6,0,2,528,0,0,0,0,0,148000
11064,8,5,1995,1995,560,670,1230,1239,0,1239,1,0,1,1,1,1,4,1,2,477,172,24,0,0,0,217500
14175,5,5,1956,1998,386,522,1240,1375,0,1375,1,0,1,0,3,1,6,1,1,323,0,0,0,0,0,187000
8248,5,7,1918,1950,0,0,686,686,564,1250,0,1,1,1,3,1,7,0,1,280,207,0,96,0,0,116000
5604,5,6,1925,1950,468,0,864,864,0,864,1,0,1,0,2,1,5,0,0,0,0,0,96,0,0,98000
11553,5,5,1968,1968,673,0,1051,1159,0,1159,0,0,1,1,3,1,7,1,1,336,466,0,0,0,0,158000
10482,6,8,1958,1958,507,0,588,1138,0,1138,0,1,1,0,3,1,6,0,1,264,224,0,0,0,0,145000
7703,6,8,1978,1978,450,0,450,1034,0,1034,0,1,1,0,3,1,6,1,2,504,311,0,0,0,0,153000
9000,6,6,1937,1950,0,0,780,780,595,1375,0,0,1,1,3,1,6,1,1,544,0,162,0,0,126,141000
8163,5,6,1959,1959,748,294,1144,1144,0,1144,1,0,1,0,3,1,6,1,1,796,86,0,0,0,0,143000
9000,5,3,1959,1959,288,0,1006,1006,0,1006,0,0,1,0,3,1,5,0,0,0,0,24,0,0,0,80000
1974,4,5,1973,1973,334,0,546,546,546,1092,0,0,1,1,3,1,6,0,1,286,120,96,0,0,0,83500
7500,7,5,2006,2006,54,0,1141,1141,0,1141,1,0,1,1,3,1,6,0,2,484,182,0,0,0,0,152000
9464,6,7,1958,1958,570,0,1080,1080,0,1080,0,0,1,0,3,1,5,0,1,288,0,0,0,0,130,136000
4118,4,4,1941,1950,0,0,693,693,0,693,0,0,1,0,2,1,4,0,0,0,0,20,0,0,0,52500
20062,7,7,1977,2001,1092,0,1420,1483,0,1483,1,0,1,1,1,1,4,2,2,690,496,0,0,0,0,270000
10320,3,3,1915,1950,0,0,536,808,536,1344,0,0,2,0,3,2,8,0,0,0,42,0,204,0,0,82375
7777,6,5,1996,1996,0,0,1491,1491,0,1491,0,0,2,0,3,1,7,1,2,571,0,35,0,0,0,178000
10914,3,3,1929,1950,0,0,715,715,0,715,0,0,1,0,2,1,4,0,2,660,0,0,75,0,112,68000
10721,6,6,1959,1959,0,0,1252,1252,0,1252,0,0,1,0,3,1,7,0,2,528,0,39,0,0,0,142000
10010,5,5,1974,1975,1071,123,1389,1389,0,1389,1,0,1,0,2,1,6,1,2,418,240,38,0,0,0,170000
5700,7,6,1929,1990,336,0,672,672,672,1344,1,0,1,1,3,1,6,1,2,456,0,0,70,0,0,140000
7388,5,6,1959,2002,405,0,1063,1327,0,1327,1,0,1,0,3,1,7,0,2,624,0,0,0,0,0,150750
8385,5,8,1977,1977,595,0,985,985,0,985,0,0,2,0,3,1,6,0,1,328,210,0,0,0,0,149900
2665,5,7,1976,1976,318,0,550,925,550,1475,0,0,2,0,4,1,6,1,1,336,92,26,0,0,0,129500
17808,4,5,1946,1950,0,0,484,1242,0,1242,0,0,1,0,2,1,4,0,1,336,0,0,0,0,0,109900
1488,6,6,1980,1992,471,0,561,561,668,1229,1,0,1,1,2,1,5,1,2,462,176,0,0,0,0,137000
7052,7,5,2005,2005,659,0,1364,1364,0,1364,1,0,2,0,2,1,6,1,2,484,192,36,0,0,0,185850
7500,7,5,2006,2006,0,0,1143,1143,0,1143,0,0,1,1,3,1,5,0,0,0,0,55,0,0,0,147000
