"Name","position","college","jersey_number","birthday","age","coll_class","height","weight","hs_loc","hs_name","HS_recruitment","background_info","strengths","stats","GP","GS","pass_comp","pass_att","comp_pct","pass_yds","pass_td","qb_int","rush_att","rush_yds","rush_ypc","rush_TD","rec","rec_yds","rec_ypc","rec_TD","tackles","tfl","sacks","forced_fumbles","passes_defended","def_int","arm_length","hand_size","wingspan","forty_dash","twenty_shuttle","ten_split","vert_jump","broad_jump","short_shuttle","three_cone","bench","season","draft_year","draft_team","draft_round","draft_ovr","pfr_id"
"DEVINE OZIGBO","RB","Nebraska",22,"10/2/1996","22.58","SR",70.75,222,"Sachse, Texas","Sachse",3,"A three-star running back recruit out of high school, Devine Ozigbo (oh-ZIG-bo) moved to Sachse (just outside of Dallas) in elementary school and played football and ran track. Despite playing in a pass-heavy high school offense, he rushed for 2,544 yards and 49 touchdowns his final three years, adding 65 catches to twice earn All-District honors. Ozigbo was ranked as a top-60 running back recruit in the 2015 class, initially committing to Iowa State over Iowa, Boise State and a few others, but flipped to Nebraska once they offered late in the process. His older brother (DJ) played college basketball at Concordia. Ozigbo accepted his invitation to the 2019 East-West Shrine Game.","Big-bodied finisher, running physical to deliver blows at contact…keeps his legs pumping, making him tough to finish off…quick feet and strong strides to accelerate quickly…wins races to the corner…anticipates creases to attack the second level…good feel for spacing…steady hands and experienced running wheel routes…faces up the rush in pass protection…wasn’t worn down in college…three career fumbles, but none as the starter in 2018…graduated with a degree in advertising (December 2018)…known for his work ethic in the Huskers’ program – awarded Nebraska’s prestigious Tom Novak Award, which is given to the senior who “best exemplifies courage and determination despite all odds.”","YEAR (GP/GS)     CAR    YDS      AVG    TD       REC      YDS   AVG     TD    NOTES 2015: (11/0)     38     209      5.5    1        5        62    12.4    0 2016: (11/1)     97     412      4.2    5        5        100   20.0    0 2017: (10/3)     129    493      3.8    3        16       123   7.7     0     All-Big Ten Honorable Mention 2018: (12/9)     155    1,082    7.0    12       23       203   8.8     0     All-Big Ten Honorable Mention Total: (44/13)   419    2,196    5.2    21       49       488   10.0    0               HT      WT ARM            HAND      WING       40-YD 20-YD 10-YD          VJ        BJ        SS     3C       BP COMBINE      N/A (not invited) PRO DAY      5106 222 31               09 1/4    75 1/2     4.62      2.65   1.62      37        10’04”    4.27   6.95     19  ",12,9,.,.,.,.,.,.,155,1082,6.980645161290322,12,23,203,8.826086956521738,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"ALEX BARNES","RB","Kansas State",34,"10/27/1996","22.51","rJR",72.375,226,"Pittsburg, Kan.","Pittsburg",3,"A three-star running back recruit out of high school, Brandon Alex Barnes was a four-year starter at Pittsburg, leading the team in tackles as a linebacker his freshman and sophomore seasons. He took over at running back as a junior and earned All-State honors his final two prep seasons. Barnes posted 2,361 rushing yards and 38 touchdowns as a senior and finished his career with 4,835 rushing yards and 83 touchdowns, setting the league records for rushing yards in a season and career. He was the No. 71 running back nationally and the No. 7 recruit in Kansas, committing to Kansas State over Kansas, Minnesota and Rutgers. His father (William) played running back at the JUCO level and one season at Texas in 1996. Barnes elected to skip his senior season and enter the 2019 NFL Draft.","Athletic, big-boned frame with proportionate bulk…flashes sudden burst in his plant-and-drive upfield…agile in small spaces…runs with the body strength to be his own blocker…lowers his pads and looks to run over second-level defenders…picks up his knees and keeps his feet driving, finishing through contact…faces up in pass protection, keeping blitzers occupied…took on more of a pass-catching role in 2018…lives in the weight room and his coaches say he works overtime on his craft…voted a team captain…productive final season, becoming the 16th player in school history to hit the 1,000-yard rushing mark in a season.","YEAR (GP/GS) CAR        YDS      AVG TD          REC      YDS   AVG TD        NOTES 2015: Redshirted 2016: (11/0)    56      442      7.9    6        0        0     0.0     0 2017: (13/13) 146       819      5.6    7        5        29    5.8     0 2018: (12/12) 256       1,355    5.3    12       20       194   9.7     0     Second Team All-Big 12; Led Conference in rushing Total: (36/25) 458      2,616    5.7    25       25       223   8.9     0               HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                        VJ        BJ        SS     3C       BP COMBINE      6003 226 31            10      75        4.59      2.68 1.57              38 1/2    10’06”    4.10   6.95     34 PRO DAY      N/A (stood on Combine numbers; positional drills only)  ",12,12,.,.,.,.,.,.,256,1355,5.29296875,12,20,194,9.7,0,.,.,.,.,.,.,31,10,75,4.59,2.68,1.57,38.5,126,4.1,6.95,34,2019,.,.,.,.,"BarnAl01"
"TRAVIS HOMER","RB","Miami (Fla.)",24,"8/7/1998","20.73","JR",70.375,201,"West Palm Beach, Fla.","Oxbridge",4,"A four-star running back recruit out of high school, Travis Homer played football and ran track at Oxbridge Academy, a private school that didn’t offer football until the 2012 season (the school shut down the football program prior to the 2018 season). He set a personal-best in the 100 meters (11.50) in track and rushed for 1,315 yards and scored 13 touchdowns as a senior, finishing his prep career with 3,200 rushing yards and 50 total scores. Homer was the No. 10 running back recruit nationally in the 2016 class and committed to Miami (Fla.) over Alabama, Florida and Florida State, becoming Oxbridge’s first Power Five conference signee. His older brother (Tevin) was a defensive back at Florida Atlantic and went undrafted in the 2017 NFL Draft, spending time in the Washington Redskins camp. Homer elected to skip his senior season and enter the 2019 NFL Draft.","Makes sharp, coordinated cuts to catch defenders napping…instinctive run qualities to press, sort and burst…allows alleys to develop with a natural feel for angles…runs tougher than he looks, lowering his pads and driving his legs to finish…offers speed to the edge and accelerates to his top gear quickly (five rushes of 40-plus yards in 2018)…active in the screen game, showing soft hands…if you ask him what he does best on the football field, he will tell you pass protect, showing steady technique as a blocker…team captain in 2018...averaged over 6.0 yards per carry in his career.","YEAR (GP/GS)     CAR    YDS     AVG    TD       REC      YDS   AVG    TD     NOTES 2016: (12/0)     7      44      6.3    0        0        0     0.0    0 2017: (13/9)     163    966     5.9    8        18       219   12.2   1      Second Team All-ACC 2018: (13/13)    164    985     6.0    4        19       186   9.8    0      Second Team All-ACC; Team Captain Total: (38/22)   334    1,995   6.0    12       37       405   10.8   1              HT       WT     ARM       HAND      WING       40-YD 20-YD 10-YD         VJ        BJ        SS     3C       BP COMBINE     5103     201    31 1/2    10        75 1/2     4.48  2.61  1.57          39 1/2    10’10”    4.31   7.07     17 PRO DAY                                                    -     -     -             -         -         4.25   7.22     -     (stood on Combine runs, jumps, bench)  ",13,13,.,.,.,.,.,.,164,985,6.0060975609756095,4,19,186,9.789473684210526,0,.,.,.,.,.,.,31.5,10,75.5,4.48,2.61,1.57,39.5,130,4.31,7.07,17,2019,2019,"Seattle Seahawks",6,204,"HomeTr00"
"KARAN HIGDON","RB","Michigan",22,"9/8/1996","22.64","SR",69.125,206,"Sarasota, Fla.","Riverview",3,"A three-star running back recruit out of high school, Karan (ka-RON) Higdon attended Riverview High School where he was coached by Todd Johnson, who played safety at Florida and was a fourth-round pick in the 2003 NFL Draft, playing seven years in the NFL. Higdon totaled 1,471 rushing yards and 16 touchdowns over his prep career and was considered a top-40 running back recruit. Higdon initially committed to Iowa (over Arkansas, Duke and Tennessee), but flipped to Michigan on signing day, citing UM’s medical school as the reason. He has a close relationship with his mother (Samantha Christian), who moved to Ann Arbor to give him a support system away from home. Higdon has a 4-year old daughter (Kiyah), who is his “motivation” and “reason I do what I do.” He is the founder of a non-profit organization called “Empire for the Youth.”","Runs confident and physical between the tackles…displays natural balance to run through below-the-waist and arm tackle attempts…looks to finish each run, routinely falling forward…quick through holes and transitions his momentum well mid-cut…run instincts allow him to follow blocks and time his moves…nice job giving up his body in pass protection, cutting down blitzers…works hard in the weight room and pays attention to conditioning…voted a 2018 team captain and coaches speak highly of his character (Michigan HC Jim Harbaugh: “Karan’s got a great track record of being a ‘do stuff right’ guy”)…wasn’t worn down in college…became first in his family to graduate (May 2018) from a four-year college and is a certified registered nurse anesthetist.","YEAR (GP/GS)     CAR    YDS     AVG    TD       REC      YDS   AVG    TD     NOTES 2015: (3/0)      11     19      1.7    0        1        3     3.0    0 2016: (12/0)     72     425     5.9    6        0        0     0.0    0 2017: (13/8)     164    994     6.1    11       8        131   16.4   0      Third Team All-Big Ten 2018: (11/11)    224    1,178   5.3    10       7        43    6.1    0      First Team All-Big Ten; Michigan’s first 1,000-yard rusher since 2011; Team Captain Total: (39/19)   471    2,616   5.6    27       16       177   11.1   0              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                       VJ        BJ        SS     3C       BP COMBINE     5091 206 30 3/4 09 5/8 73 1/4 4.49              2.61      1.56           34        10’03”    -      -        21    (no shuttle or 3-cone – groin) PRO DAY     N/A (stood on Combine numbers; no workout – groin injury)  ",11,11,.,.,.,.,.,.,224,1178,5.258928571428571,10,7,43,6.142857142857143,0,.,.,.,.,.,.,30.75,9.625,73.25,4.49,2.61,1.56,34,123,.,.,21,2019,.,.,.,.,"HigdKa01"
"ELIJAH HOLYFIELD","RB","Georgia",13,"11/30/1997","21.41","JR",70.375,217,"College Park, Ga.","Woodward",4,"A four-star running back recruit out of high school, Elijah (ee-LIE-zhuh) Holyfield started his prep career at Riverside Military Academy as a freshman before transferring to Woodward Academy for his final three years of high school. He was the starting running back as a sophomore and emerged as one of the best players in Georgia as a junior, posting 1,735 rushing yards and 25 touchdowns. He battled an ankle injury as a senior but still finished with 1,069 rushing yards and 21 touchdowns to earn First Team All-State honors. Holyfield was the No. 6 running back in the 2016 recruiting class and strongly considered Auburn, Notre Dame and Ohio State before deciding to stay home and play for Georgia. His father (Evander) is a former four-time world heavyweight champion boxer, also competing in the 1984 Olympics. Elijah’s parents split up when he was only 1 year old, and he grew up with his mother (Tamie Pettaway) and stepfather (Chris), although Evander has been a close part of his life. Holyfield elected to skip his senior season and enter the 2019 NFL Draft.","Owns an NFL body with his brawny, muscular build…drops his pads and attacks with leg drive and a heavy shoulder…punishes tacklers with his low, physical run style…takes a beating and pops up before the defender…balanced at contact and spins off tackle attempts…not a dancer and quickly gets north- south…lateral quickness to juke and transition away from trouble, finding his top speed quickly…only one fumble in college (and didn’t record a fumble in high school)…team captain…committed to his craft and coaches praise his maturity and makeup (Georgia head coach Kirby Smart: “His work ethic day in and day out, his toughness and his attitude, is tremendous”).","YEAR (GP/GS)     CAR    YDS      AVG    TD      REC      YDS   AVG    TD     NOTES 2016: (5/0)      6      29       4.8    0       1        19    19.0   0 2017: (13/1)     50     293      5.9    2       1        4     4.0    0 2018: (14/9)     159    1,018    6.4    7       5        40    8.0    0      Team Captain Total: (32/10)   215    1,340    6.2    9       7        63    9.0    0              HT       WT       ARM      HAND     WING       40-YD 20-YD 10-YD         VJ        BJ        SS     3C       BP COMBINE     5103     217      30 3/8   09       72 1/2     4.78  2.79  1.69          29 1/2    09’10”    -      -        26    (no shuttle or 3-cone – left hamstring) PRO DAY                                                    4.81  2.75  1.67          20 1/2    -         -      -        -     (no shuttle or 3-cone – choice)  ",14,9,.,.,.,.,.,.,159,1018,6.40251572327044,7,5,40,8,0,.,.,.,.,.,.,30.375,9,72.5,4.78,2.79,1.69,29.5,118,.,.,26,2019,.,.,.,.,"HolyEl00"
"JORDAN SCARLETT","RB","Florida",25,"2/10/1996","23.22","rJR",70.625,208,"Fort Lauderdale, Fla.","St. Thomas Aquinas",4,"A four-star running back recruit out of high school, Jordan Scarlett was a three-year starting tailback at St. Thomas Aquinas and helped lead the team to the 2014 Class 7A State Championship. As a senior, he rushed for 1,124 yards and 24 touchdowns, giving him 51 career scores. Scarlett was named a U.S. Army All- American and First Team All-State performer, also running track in high school. Considered the No. 12 running back in the 2015 recruiting class, he initially committed to Miami (Fla.) prior to his senior year but decommitted the week of signing day and flipped to Florida. Scarlett elected to skip his final season of eligibility and enter the 2019 NFL Draft.","Picturesque for the position with well-distributed muscle tone…flashes a burst off his plant foot…able to hit the turbo button to clear holes and outpace linebackers…nice job avoiding the trash and escaping around the corner…stout and withstands off-balanced tackle attempts…brushes off arm tackles and won’t concede easily…squares up rushers and has the hands and base strength to keep the pocket clean…productive final season, meeting the conditions laid out by the coaches to return to the team.                                                                                       [26]","YEAR (GP/GS) CAR        YDS      AVG TD         REC      YDS   AVG TD        NOTES 2015: (10/1)   34       181      5.3 1          1        1     1.0 0 2016: (13/8)   179      889      5.0 6          4        23    5.8 0 2017: Suspended 2018: (13/12) 131       776      5.9    5       10       84    8.4    0 Total: (36/21) 344      1,846    5.4    12      15       108   7.2    0              HT      WT ARM         HAND WING 40-YD 20-YD 10-YD                       VJ        BJ        SS     3C       BP COMBINE     5105 208 30 3/8 08 7/8 72 3/8 4.47                 2.61 1.58             30        09’08”    4.63   7.37     21 PRO DAY     N/A (stood on Combine numbers; positional drills only)  ",13,12,.,.,.,.,.,.,131,776,5.923664122137405,5,10,84,8.4,0,.,.,.,.,.,.,30.375,8.875,72.375,4.47,2.61,1.58,30,116,4.63,7.37,21,2019,2019,"Carolina Panthers",5,154,"ScarJo00"
"LJ SCOTT","RB","Michigan State",3,"9/15/1996","22.62","SR",72.375,227,"Youngstown, Ohio","Hubbard",4,"A four-star running back recruit out of high school, Larry “L.J.” Scott was a four-year starter at Hubbard, eclipsing 100 yards rushing in 37 of his 46 career games in high school. He had a record-setting senior year with 2,819 rushing yards (9.6 yards per carry) and 38 touchdowns, finishing his career with 9,196 all- purpose yards and 104 total touchdowns. Scott also made an impact on defense with 108 tackles and 10 interceptions over his prep career. He was the No. 2 recruit in Ohio and No. 6 running back nationally, holding offers from every major college program. Most thought he would stay in state and attend Ohio State, but he felt the Buckeyes were late and only recruited him hard once other backs committed elsewhere, driving him to Michigan State. After leading the Spartans in rushing his first three seasons, Scott battled injuries in 2018 and originally planned to redshirt (played in only four games in 2018), but changed his mind later in the year and suited up for the bowl game, leaving for the 2019 NFL Draft after the season. He accepted his invitation to the 2019 Senior Bowl but was unable to participate due to injuries.","Above-average foot quickness and body control for a player his size…runs physical and balanced to shred arm tackles…attitude runner and slams through inside lanes…run violence makes him a chore to finish one-on-one…his stiff arm keeps defenders at bay…fluid lower body, shrugging off angled tackle attempts…foot quickness to patch together moves without gearing down…mostly a screen target, but he caught the ball when targeted, showing natural adjustment skills…offers upside in pass protection.","YEAR (GP/GS)     CAR    YDS      AVG    TD      REC      YDS     AVG     TD   NOTES 2015: (14/1)     146    699      4.8    11      3        15      5.0     0    Big Ten All-Freshman 2016: (12/10)    184    994      5.4    6       10       147     14.7    1    All-Big Ten Honorable Mention 2017: (12/7)     201    898      4.5    8       20       146     7.3     1 2018: (5/5)      79     264      3.3    0       10       95      9.5     0 Total: (43/23)   610    2,855    4.7    25      43       403     9.4     2              HT       WT       ARM      HAND     WING       40-YD 20-YD 10-YD          VJ        BJ        SS     3C       BP COMBINE     6003     227      32 1/8   09 3/8   77 1/2     -     -     -              33        10’00”    4.34   7.27     21   (no runs – choice) PRO DAY                                                    4.68  2.70  1.64           -         -         -      -        -    (stood on Combine jumps, shuttles, bench)  ",5,5,.,.,.,.,.,.,79,264,3.3417721518987342,0,10,95,9.5,0,.,.,.,.,.,.,32.125,9.375,77.5,.,.,.,33,120,4.34,7.27,21,2019,.,.,.,.,"ScotLJ00"
"JAMES WILLIAMS","RB","Washington State",32,"5/17/1996","22.95","rJR",69.5,197,"Burbank, Calif.","Burbank",3,"A three-star running back recruit out of high school, James Williams grew up in Toledo but the crime-riddled area led his mom to move the family to Burbank in 2010. The family struggled financially and were essentially homeless, often living out of their car throughout Williams’ high school years. Williams was a three-year starter at Burbank and recorded 2,307 all-purpose yards (1,469 rushing yards) as a junior, earning league Offensive Player of the Year honors in 2013. He suffered an injury in the second game of his senior year and missed the rest of the 2014 season. Williams was the No. 63 running back nationally and committed to Washington State prior to his senior year injury and stayed loyal to him. He elected to skip his senior season and enter the 2019 NFL Draft.","Runs with subtle quickness to make defenders miss…makes lateral cuts without slowing…glides away from tacklers and has a natural understanding of run angles…surprises pursuit with his ability to cut back and set up his second and third moves…loves the spin move, staying controlled…outstanding pass catcher, quickly transitioning from pass catcher to runner…his 83 catches in 2018 were a Pac-12 record for a running back (six career games with 10-plus catches)…only three career fumbles…persevered through a rough upbringing and is no stranger to overcoming adversity.","YEAR (GP/GS) CAR        YDS      AVG TD         REC      YDS       AVG TD     NOTES 2015: Redshirted 2016: (13/2)    102     584      5.7    6       48       342       7.1   1    Freshman All-American Honorable Mention 2017: (13/3)    92      395      4.3    1       71       482       6.8   3 2018: (13/13) 122       560      4.6    12      83       613       7.4   4    All-Pac 12 Honorable Mention Total: (39/18) 316      1,539    4.9    19      202      1,437     7.1   8              HT       WT       ARM      HAND     WING       40-YD 20-YD 10-YD          VJ        BJ        SS     3C       BP COMBINE     5094     197      30 3/8   09 1/4   73         4.58  2.65  1.59           36 1/2    09’10”    4.25   7.01     -    (no bench – right shoulder) PRO DAY                                                    -     -     -              35        09’09”    -      -        15   (stood on Combine runs and shuttles)                                                                                      [27]  ",13,13,.,.,.,.,.,.,122,560,4.590163934426229,12,83,613,7.385542168674699,4,.,.,.,.,.,.,30.375,9.25,73,4.58,2.65,1.59,36.5,118,4.25,7.01,.,2019,.,.,.,.,"WillJa08"
"QADREE OLLISON","RB","Pittsburgh",30,"9/8/1996","22.64","rSR",72.625,228,"Niagara Falls, N.Y.","Canisius",3,.,.,"YEAR (GP/GS) CAR        YDS      AVG TD         REC      YDS   AVG TD       NOTES 2014: Redshirted 2015: (13/11) 212       1,121    5.3    11      14       77    5.5    1     Second Team All-ACC; ACC Offensive Rookie of the Year 2016: (13/2)    33      127      3.8    2       2        38    19.0   0 2017: (12/8)    90      398      4.4    5       23       194   8.4    2 2018: (14/14) 194       1,213    6.3    11      11       66    6.0    0     Second Team All-ACC Total: (52/35) 529      2,859    5.4    29      50       375   7.5    3              HT       WT       ARM      HAND     WING       40-YD 20-YD 10-YD         VJ       BJ        SS     3C       BP COMBINE     6005     228      31 1/2   09 5/8   76 1/2     4.58  2.68  1.63          29 1/2   09’06”    4.31   7.53     19 PRO DAY                                                    -     -     -             -        -         4.25   7.13     -     (stood on Combine runs, jumps, bench)  ",14,14,.,.,.,.,.,.,194,1213,6.252577319587629,11,11,66,6,0,.,.,.,.,.,.,31.5,9.625,76.5,4.58,2.68,1.63,29.5,114,4.31,7.53,19,2019,2019,"Atlanta Falcons",5,152,"OlliQa00"
"KERRITH WHYTE","RB","Florida Atlantic",6,"10/31/1996","22.50","rJR",70,197,"Loxahatchee, Fla.","Seminole Ridge",2,.,.,"YEAR (GP/GS) CAR        YDS      AVG TD         REC      YDS   AVG TD       NOTES 2015: Redshirted 2016: (10/1)    41      141      3.4    1       5        21    4.2    0 2017: (14/0)    55      347      6.3    2       7        46    6.6    0 2018: (12/0)    134     866      6.5    8       10       160   16.0   2     All-CUSA Honorable Mention Total: (36/1)   230     1,354    5.9    11      22       227   10.3   2              HT      WT ARM             HAND     WING       40-YD 20-YD 10-YD         VJ       BJ        SS     3C       BP COMBINE     N/A (not invited) PRO DAY     5100 197 29 7/8            09 1/2   72 1/2     4.37   2.53     1.57      42       11’00”    4.37   7.20     21  ",12,0,.,.,.,.,.,.,134,866,6.462686567164179,8,10,160,16,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"DARRIN HALL","RB","Pittsburgh",22,"9/6/1996","22.65","SR",71.5,217,"Youngstown, Ohio","Austintown Fitch",4,.,.,"YEAR (GP/GS)     CAR    YDS      AVG     TD      REC      YDS   AVG       TD       NOTES 2015: (10/1)     64     257      3.0     2       5        30    6.0       0 2016: (12/0)     36     160      4.4     0       2        14    7.0       0 2017: (12/7)     128    628      4.9     9       16       157   9.8       1 2018: (14/0)     153    1,144    7.5     10      15       66    4.4       0        Third Team All-ACC Total: (48/8)    381    2,189    5.7     21      38       267   7.0       1               HT      WT ARM            HAND      WING       40-YD 20-YD 10-YD              VJ       BJ       SS     3C      BP COMBINE      N/A (not invited) PRO DAY      5114 217 31 5/8           09 1/2    76 1/4     4.51      2.57     1.60        32       10’02”   4.03   6.94    27  ",14,0,.,.,.,.,.,.,153,1144,7.477124183006536,10,15,66,4.4,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"TY JOHNSON","RB","Maryland",24,"9/17/1997","21.62","SR",70.75,210,"Cumberland, Md.","Fort Hill",3,.,.,"YEAR (GP/GS)     CAR    YDS      AVG     TD      REC      YDS   AVG       TD       NOTES 2015: (12/0)     35     250      7.1     3       2        30    15.0      0 2016: (13/8)     110    1,004    9.1     6       16       206   12.9      1 2017: (12/12)    137    875      6.4     5       5        60    12.0      1        All-Big Ten Honorable Mention 2018: (9/9)      66     506      7.7     3       6        22    3.7       0        All-Big Ten Honorable Mention Total: (46/29)   348    2,635    7.6     17      29       318   11.0      2               HT      WT ARM            HAND      WING       40-YD 20-YD 10-YD              VJ       BJ       SS     3C      BP COMBINE      N/A (not invited) PRO DAY      5106 210 29 3/4           09 1/8    72         4.40      2.51     1.56        34 1/2   10’03”   -      -       27    (no shuttle or 3-cone – hamstring)  ",9,9,.,.,.,.,.,.,66,506,7.666666666666667,3,6,22,3.6666666666666665,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"WES HILLS","RB","Slippery Rock",4,"6/5/1995","23.90","rSR",72.625,209,"Wildwood, N.J.","Wildwood",0,.,.,"YEAR (GP/GS) CAR YDS             AVG     TD      REC      YDS   AVG       TD       NOTES 2013: (12/0)   10      81        8.1     1       0        0     0.0       0        Delaware 2014: (12/1)   172 952           5.5     6       9        53    5.9       0        Delaware 2015: (1/0)    16      88        5.5     0       0        0     0.0       0        Delaware; Redshirted (broken foot in the season opener) 2016: (7/5)    88      728       8.3     7       1        14    14.0      0        Delaware; Third Team All-CAA; Team Captain (dislocated shoulder) 2017: Academically ineligible                                                      Delaware 2018: (12/10) 246 1,714          7.0     17      28       193   6.9       0        Slippery Rock; Second Team All-American; First Team All-PSAC; Team Captain Total: (44/16) 532 3,563         6.7     31      38       260   6.8       0               HT      WT ARM            HAND      WING       40-YD 20-YD 10-YD              VJ       BJ       SS     3C      BP COMBINE      N/A (not invited) PRO DAY      6005 209 32 3/8           8 7/8     76 3/8     -         -        -           -        -        -      -       -  ",12,10,.,.,.,.,.,.,246,1714,6.967479674796748,17,28,193,6.892857142857143,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"MATT COLBURN II","RB","Wake Forest",22,"7/27/1997","21.76","SR",67.75,204,"Irmo, S.C.","Dutch Fork",3,.,.,"YEAR (GP/GS)     CAR    YDS     AVG    TD       REC      YDS   AVG     TD    NOTES 2015: (10/3)     66     239     3.6    1        0        0     0.      0 2016: (13/3)     151    626     4.1    2        13       143   11.0    0 2017: (13/7)     166    904     5.4    7        11       67    6.1     0 2018: (11/11)    159    759     4.8    5        10       96    9.6     0 Total: (47/24)   542    2,528   4.7    15       34       306   9.0     0              HT      WT ARM            HAND      WING       40-YD 20-YD 10-YD         VJ        BJ        SS     3C      BP COMBINE     N/A (not invited) PRO DAY     5076 204 27 7/8           08 3/4    68 7/8     4.47      2.53   1.60     31        09’05”    4.27   6.72    25  ",11,11,.,.,.,.,.,.,159,759,4.773584905660377,5,10,96,9.6,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"XAVIER TURNER","RB","Tarleton St.",21,"12/24/1995","23.35","SR",69.625,225,"North Richland Hills, Texas","Birdville",3,.,.,"YEAR (GP/GS) CAR YDS            AVG TD          REC      YDS   AVG TD        NOTES 2014: Navarro College (Texas) 2015: Out of football                                                        He had a son, Ayden, and took a year off to support his family 2016: Navarro College (Texas) 2017: (12/11) 149 765           5.1    11       31       174   5.6     1     Second Team All-LSC 2018: (13/11) 228 1,469         6.4    22       4        4     1.0     0     Honorable Mention All-American; First Team All-LSC; LSC Offensive Back of the Year Total: (25/22) 377 2,234        5.9    33       35       178   5.1     1              HT      WT ARM            HAND      WING       40-YD 20-YD 10-YD         VJ        BJ        SS     3C      BP COMBINE     N/A (not invited) PRO DAY     5095 225 31 3/8           08 7/8    76 1/2     4.52      2.56   1.56     33 1/2    09’03”    4.44   7.27    24  ",13,11,.,.,.,.,.,.,228,1469,6.442982456140351,22,4,4,1,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"DAMAREA CROCKETT","RB","Missouri",16,"12/22/1997","21.35","JR",71.125,224,"Little Rock, Ark.","Christian",3,.,.,"YEAR (GP/GS)     CAR    YDS     AVG    TD       REC      YDS   AVG     TD    NOTES 2016: (11/2)     153    1,062   6.9    10       5        14    2.8     0     Missouri freshman records for rushing yards and rushing touchdowns 2017: (6/5)      80     481     6.0    2        4        35    8.8     1 2018: (12/3)     147    709     4.8    7        12       88    7.3     1 Total: (39/10)   380    2,252   5.9    19       21       137   6.5     2              HT      WT ARM            HAND      WING       40-YD 20-YD 10-YD         VJ        BJ        SS     3C      BP COMBINE     N/A (not invited) PRO DAY     5111 224 32               09 5/8    75 7/8     4.47      2.57   1.57     37        09’11”    4.32   7.43    21  ",12,3,.,.,.,.,.,.,147,709,4.8231292517006805,7,12,88,7.333333333333333,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"BRUCE ANDERSON","RB","North Dakota State",8,"6/20/1997","21.86","SR",71.25,210,"Ruskin, Fla.","Newsome",0,.,.,"YEAR (GP/GS)     CAR    YDS     AVG     TD       REC      YDS   AVG    TD     NOTES 2015: (15/1)     90     503     5.6     2        8        55    6.9    1      MVFC All-Newcomer Team 2016: (9/0)      38     253     6.7     1        4        38    9.5    0 2017: (15/8)     234    1,216   5.2     12       8        156   19.5   3      Second Team All-American; Second Team All-MVFC 2018: (13/8)     124    924     7.5     9        12       199   16.6   3      Second Team All-MVFC Total: (52/17)   486    2,896   6.0     24       32       448   14.0   7              HT      WT ARM            HAND       WING       40-YD 20-YD 10-YD          VJ         BJ       SS     3C     BP COMBINE     N/A (not invited) PRO DAY     5112 210 31 1/2           09         76 1/2     4.58    2.61     1.58      31         09’11”   4.47   7.23   22  ",13,8,.,.,.,.,.,.,124,924,7.451612903225806,9,12,199,16.583333333333332,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"NICK BROSSETTE","RB","LSU",4,"3/2/1996","23.16","SR",71.125,209,"Baton Rouge, La.","University",4,.,.,"YEAR (GP/GS)     CAR    YDS     AVG     TD       REC      YDS   AVG    TD     NOTES 2015: (9/0)      12     65      5.4     0        1        -1    -1.0   0 2016: (12/0)     15     145     9.7     0        0        0     0.0    0 2017: (13/1)     19     96      5.1     0        0        0     0.0    0 2018: (13/11)    240    1,039   4.3     14       14       78    5.6    0      Team Captain Total: (47/12)   286    1,345   4.7     14       15       77    5.1    0              HT       WT      ARM      HAND       WING       40-YD 20-YD 10-YD          VJ         BJ       SS     3C     BP COMBINE     5111     209     30       08 5/8     72 7/8     4.72  2.69  1.66           35 1/2     09’10”   4.44   7.38   15 PRO DAY                                                     4.73  2.71  1.63           -          -        -      -      -     (stood on Combine jumps, shuttles, bench)  ",13,11,.,.,.,.,.,.,240,1039,4.329166666666667,14,14,78,5.571428571428571,0,.,.,.,.,.,.,30,8.625,72.875,4.72,2.69,1.66,35.5,118,4.44,7.38,15,2019,.,.,.,.,"BrosNi01"
